Variable_Name,Category_Name,Category_Code,Subcategory_Name,Variable_Code,Units
"Population, low access to store, 2015",Access and Proximity to Foodstore,ACCESS,Overall,LACCESS_POP15,Count
"Population, low access to store, 2019",Access and Proximity to Foodstore,ACCESS,Overall,LACCESS_POP19,Count
"Population, low access to store (% change), 2015 -19",Access and Proximity to Foodstore,ACCESS,Overall,PCH_LACCESS_POP_15_19,% change
"Population, low access to store (%), 2015",Access and Proximity to Foodstore,ACCESS,Overall,PCT_LACCESS_POP15,Percent
"Population, low access to store (%), 2019",Access and Proximity to Foodstore,ACCESS,Overall,PCT_LACCESS_POP19,Percent
"Low income & low access to store, 2015",Access and Proximity to Foodstore,ACCESS,Household Resources,LACCESS_LOWI15,Count
"Low income & low access to store, 2019",Access and Proximity to Foodstore,ACCESS,Household Resources,LACCESS_LOWI19,Count
"Low income & low access to store (% change), 2015 - 19",Access and Proximity to Foodstore,ACCESS,Household Resources,PCH_LACCESS_LOWI_15_19,% change
"Low income & low access to store (%), 2015",Access and Proximity to Foodstore,ACCESS,Household Resources,PCT_LACCESS_LOWI15,Percent
"Low income & low access to store (%), 2019",Access and Proximity to Foodstore,ACCESS,Household Resources,PCT_LACCESS_LOWI19,Percent
"Households, no car & low access to store, 2015",Access and Proximity to Foodstore,ACCESS,Household Resources,LACCESS_HHNV15,Count
"Households, no car & low access to store, 2019",Access and Proximity to Foodstore,ACCESS,Household Resources,LACCESS_HHNV19,Count
"Households, no car & low access to store (% change), 2015 - 19",Access and Proximity to Foodstore,ACCESS,Household Resources,PCH_LACCESS_HHNV_15_19,% change
"Households, no car & low access to store (%), 2015",Access and Proximity to Foodstore,ACCESS,Household Resources,PCT_LACCESS_HHNV15,Percent
"Households, no car & low access to store (%), 2019",Access and Proximity to Foodstore,ACCESS,Household Resources,PCT_LACCESS_HHNV19,Percent
"SNAP households, low access to store, 2015",Access and Proximity to Foodstore,ACCESS,Household Resources,LACCESS_SNAP15,Count
"SNAP households, low access to store, 2019",Access and Proximity to Foodstore,ACCESS,Household Resources,LACCESS_SNAP19,Count
"SNAP households, low access to store (% change), 2015 - 19",Access and Proximity to Foodstore,ACCESS,Household Resources,PCH_LACCESS_SNAP_15_19,% change
"SNAP households, low access to store (%), 2015",Access and Proximity to Foodstore,ACCESS,Household Resources,PCT_LACCESS_SNAP15,Percent
"SNAP households, low access to store (%), 2019",Access and Proximity to Foodstore,ACCESS,Household Resources,PCT_LACCESS_SNAP19,Percent
"Children, low access to store, 2015",Access and Proximity to Foodstore,ACCESS,Demographics,LACCESS_CHILD15,Count
"Children, low access to store, 2019",Access and Proximity to Foodstore,ACCESS,Demographics,LACCESS_CHILD19,Count
"Children, low access to store (% change), 2015 - 19",Access and Proximity to Foodstore,ACCESS,Demographics,PCH_LACCESS_CHILD_15_19,% change
"Children, low access to store (%), 2015",Access and Proximity to Foodstore,ACCESS,Demographics,PCT_LACCESS_CHILD15,Percent
