"name","description","dataTypeName"
"StateAbbr","State abbreviation","text"
"PlaceName","City name","text"
"PlaceFIPS","City FIPS code","text"
"TractFIPS","Tract FIPS code","text"
"Place_TractID","Combined city and census tract FIPS code to form unique ID for join with spatial data","text"
"Population2010","2010 Census population count","number"
"ACCESS2_CrudePrev","Model-based estimate for crude prevalence of current lack of health insurance among adults aged 18-64 years, 2017","number"
"ACCESS2_Crude95CI","Estimated confidence interval for crude prevalence of current lack of health insurance among adults aged 18 - 64 years","text"
"ARTHRITIS_CrudePrev","Model-based estimate for crude prevalence of arthritis among adults aged >=18 years, 2017","number"
"ARTHRITIS_Crude95CI","Estimated confidence interval for crude prevalence of arthritis among adults aged ≥18 years","text"
"BINGE_CrudePrev","Model-based estimate for crude prevalence of binge drinking among adults aged >=18 years, 2017","number"
"BINGE_Crude95CI","Estimated confidence interval for crude prevalence of binge drinking among adults aged >=18 years","text"
"BPHIGH_CrudePrev","Model-based estimate for crude prevalence of high blood pressure among adults aged >=18 years, 2017","number"
"BPHIGH_Crude95CI","Estimated confidence interval for crude prevalence of high blood pressure among adults aged >=18 years","text"
"BPMED_CrudePrev","Model-based estimate for crude prevalence of taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure, 2017","number"
"BPMED_Crude95CI","Estimated confidence interval for crude prevalence of taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure","text"
"CANCER_CrudePrev","Model-based estimate for crude prevalence of cancer (excluding skin cancer) among adults aged >=18 years, 2017","number"
"CANCER_Crude95CI","Estimated confidence interval for crude prevalence of cancer (excluding skin cancer) among adults aged >=18 years","text"
"CASTHMA_CrudePrev","Model-based estimate for crude prevalence of current asthma among adults aged >=18 years, 2017","number"
"CASTHMA_Crude95CI","Estimated confidence interval for crude prevalence of current asthma among adults aged >=18 years","text"
"CHD_CrudePrev","Model-based estimate for crude prevalence of coronary heart disease among adults aged >=18 years, 2017","number"
"CHD_Crude95CI","Estimated confidence interval for crude prevalence of coronary heart disease among adults aged >=18 years","text"
"CHECKUP_CrudePrev","Model-based estimate for crude prevalence of visits to doctor for routine checkup within the past year among adults aged >=18 years, 2017","number"
"CHECKUP_Crude95CI","Estimated confidence interval for crude prevalence of visits to doctor for routine checkup within the past year among adults aged >=18 years","text"
"CHOLSCREEN_CrudePrev","Model-based estimate for crude prevalence of cholesterol screening among adults aged >=18 years, 2017","number"
"CHOLSCREEN_Crude95CI","Estimated confidence interval for crude prevalence of cholesterol screening among adults aged >=18 years","text"
"COLON_SCREEN_CrudePrev","Model-based estimate for crude prevalence of fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50–75 years, 2016","number"
